step,reward,policy_gradient_loss,value_loss,entropy,std,inventory,pnl,spread_penalty
195,-0.03787858,0,0,0,0,3736.6680623982816,-1349.2364995628595,0.21109850078153583
196,-0.03780752,0,0,0,0,3836.6680623982816,-2119.558281390462,1.8089009529284366
197,-0.03773762,0,0,0,0,3936.6680623982816,-2086.71346967062,0.8647789917639377
198,-0.037668858,0,0,0,0,4036.6680623982816,-1851.4917767475126,1.8696903097372477
199,-0.037601225,0,0,0,0,4036.6680623982816,-1631.4756280828733,1.9061222301790004
200,-0.03753469,0,0,0,0,4030.3734423860265,-1367.378900475218,0.37396323262768677
201,-0.03746925,0,0,0,0,4130.373442386026,-1253.8713683788665,0.5350639720039873
202,-0.037404865,0,0,0,0,4130.373442386026,-1129.9652070670854,1.9989865012304653
203,-0.03734153,0,0,0,0,4030.373442386026,-1030.2299211382633,0
204,-0.03727923,0,0,0,0,4130.373442386026,-1057.339175832807,0.5310696069445637
205,-0.037217937,0,0,0,0,4030.373442386026,-976.4769137245603,0.6031905086719233
206,-0.03715764,0,0,0,0,4130.373442386026,-857.5710575885605,1.5444790686437522
207,-0.037098326,0,0,0,0,4030.373442386026,-437.3374450625852,0.6810984179980704
208,-0.037039973,0,0,0,0,4130.373442386026,-504.2315140927676,0.7566023315321553
209,-0.036982562,0,0,0,0,4030.373442386026,-714.3224741239101,0.10571362390338246
210,-0.036926083,0,0,0,0,4130.373442386026,-354.60350190720055,0.3457202733522778
211,-0.03687052,0,0,0,0,4230.373442386026,-408.88350991450716,0.9103110064616279
212,-0.03681586,0,0,0,0,4234.974540207505,829.7257334702881,1.0433634788604247
213,-0.03676208,0,0,0,0,4234.974540207505,988.1107828790555,0.7753426513537024
214,-0.03670918,0,0,0,0,4234.974540207505,649.3050651923986,1.5474351497232
215,-0.036657132,0,0,0,0,4234.974540207505,861.0667163194157,1.5775906279991014
216,-0.03660593,0,0,0,0,4334.974540207505,769.3499252090696,1.6695189687932626
217,-0.03655556,0,0,0,0,4434.974540207505,892.3946631553117,0.7189013490938141
218,-0.036506005,0,0,0,0,4334.974540207505,992.7423849701881,0.7340703526796882
219,-0.03645725,0,0,0,0,4434.974540207505,-117.50118904653937,0.247676962491271
220,-0.036409292,0,0,0,0,4534.974540207505,212.64377982309088,1.4434727496637139
221,-0.036362115,0,0,0,0,4534.974540207505,-397.3385287085548,1.8115466889882625
222,-0.036315706,0,0,0,0,4634.974540207505,-609.4042623371352,1.7417548663469018
